ReleaseDate,Metacritic,RecommendationCount,IsFree,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial
2009-06-16,74,1518,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2011-06-14,72,2160,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0
2012-01-31,76,7304,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0
2011-02-15,72,5972,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.99
2014-05-22,52,670,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.99
2010-09-28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.99
2011-05-11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2010-11-10,67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.99
2011-03-23,43,105,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9.99
2008-11-18,83,13072,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99
2009-07-23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.99
2009-07-23,0,103,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.99
2009-07-23,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9.99
2009-07-23,71,571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99
2009-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.99
2009-06-10,79,2122,0,0,0,1,1,0,0,0,0,0,0,0,0,0,19.99
2009-11-11,86,22223,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99
2012-02-17,24,1045,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.99
2011-10-28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.99
2011-10-28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.99
2011-10-28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.99
2011-10-28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.99
